week,date,demand,temperature_f
1,2022-01-03,593.2178538252808,60.59732353343427
2,2022-01-10,577.5601023985647,60.037599170395055
3,2022-01-17,596.2675588466014,58.60555943701878
4,2022-01-24,616.0770458250338,67.60780743717756
5,2022-01-31,568.9826476841733,66.01765015063108
6,2022-02-07,564.785285347763,74.40319621316203
7,2022-02-14,604.9611802413729,78.36946648424608
8,2022-02-21,578.6356808880864,74.9932754900779
9,2022-02-28,540.9083200901187,82.57964436454266
10,2022-03-07,558.7418548531506,82.80202355040578
11,2022-03-14,525.5829486430913,85.51666776054591
12,2022-03-21,517.1020093037482,89.8186334707434
13,2022-03-28,526.0919912095767,84.045101874933
14,2022-04-04,463.3679938835551,82.73879150692753
15,2022-04-11,459.23411976674834,82.11272293406505
16,2022-04-18,479.59755862597103,81.68082366788525
17,2022-04-25,459.91083102823654,82.81918215232014
18,2022-05-02,485.0783295513803,82.58713669404622
19,2022-05-09,447.0542183734773,80.51958837479975
20,2022-05-16,427.64259480735416,79.93687219224111
21,2022-05-23,493.5603593693507,74.93268542285757
22,2022-05-30,446.1168832163441,76.40254463340662
23,2022-06-06,449.2517230649413,68.14772466159921
24,2022-06-13,408.7799959298304,73.79865411104493
25,2022-06-20,428.71508649278627,64.05647197192175
26,2022-06-27,444.15635481490233,56.044627738410846
27,2022-07-04,412.82516056444246,51.787322505816654
28,2022-07-11,452.3757405307975,52.83131683806987
29,2022-07-18,430.50868735794575,47.150141715395726
30,2022-07-25,441.9063568403349,46.50385487100021
31,2022-08-01,438.9208526420082,42.47801771240759
32,2022-08-08,506.068245341231,37.739570860094716
33,2022-08-15,466.1817095278635,32.56593909857094
34,2022-08-22,447.7074141168389,28.00013588080937
35,2022-08-29,503.1184430640873,28.970939166989247
36,2022-09-05,461.1010549872229,31.00551561337413
37,2022-09-12,506.453198911716,27.59179395182817
38,2022-09-19,462.26299376000094,22.134529141082474
39,2022-09-26,488.35241435711333,25.73827655461193
40,2022-10-03,536.9215308967281,26.15595213918651
41,2022-10-10,560.9045989203111,22.567161468454984
42,2022-10-17,557.0294601727538,26.33292079505502
43,2022-10-24,559.8771839036967,27.124138874775554
44,2022-10-31,564.8502613737692,25.00740833691183
